,Unnamed: 0,EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,JOB_ID,DEPARTMENT_ID
0,10,101,Neena,Kochhar,NKOCHHAR,515.123.4568,AD_VP,90
1,11,102,Lex,De Haan,LDEHAAN,515.123.4569,AD_VP,90
2,12,103,Alexander,Hunold,AHUNOLD,590.423.4567,IT_PROG,60
3,17,108,Nancy,Greenberg,NGREENBE,515.124.4569,FI_MGR,100
4,23,114,Den,Raphaely,DRAPHEAL,515.127.4561,PU_MAN,30
5,29,120,Matthew,Weiss,MWEISS,650.123.1234,ST_MAN,50
6,30,121,Adam,Fripp,AFRIPP,650.123.2234,ST_MAN,50
7,31,122,Payam,Kaufling,PKAUFLIN,650.123.3234,ST_MAN,50
8,32,123,Shanta,Vollman,SVOLLMAN,650.123.4234,ST_MAN,50
9,33,124,Kevin,Mourgos,KMOURGOS,650.123.5234,ST_MAN,50
10,3,201,Michael,Hartstein,MHARTSTE,515.123.5555,MK_MAN,20
11,7,205,Shelley,Higgins,SHIGGINS,515.123.8080,AC_MGR,110
